516		Mount Vernon , New York		68,344
517		Eau Claire , Wisconsin		68,339
518		Yorba Linda , California		68,235
519		Davis , California		68,111
520		Homestead , Florida		67,996
521		Waterloo , Iowa		67,934
522		Redondo Beach , California		67,867
523		Jacksonville , North Carolina		67,784
524		Gaithersburg , Maryland		67,776
525		Victoria , Texas		67,670
526		St. Cloud , Minnesota		67,641
527		Marysville , Washington		67,626
528		Greenville , South Carolina		67,453
529		Delray Beach , Florida		67,371
530		Camarillo , California		67,363
531		Georgetown , Texas		67,140
532		Kenner , Louisiana		67,089
533		Palo Alto , California		67,024
534		Jackson , Tennessee		67,005
535		South San Francisco , California		66,980
536		Rockville , Maryland		66,940
537		Portland , Maine		66,937
538		Yuba City , California		66,845
539		Johnson City , Tennessee		66,677
540		Daytona Beach , Florida		66,645
541		Oshkosh , Wisconsin		66,579
542		Broomfield , Colorado		66,529
543		Eagan , Minnesota		66,428
544		North Little Rock , Arkansas		66,278
545		Bayonne , New Jersey		66,238
546		Ames , Iowa		66,191
547		Mansfield , Texas		65,631
548		Harlingen , Texas		65,539
549		Alpharetta , Georgia		65,338
550		Laguna Niguel , California		65,328
551		San Clemente , California		65,309
552		Conway , Arkansas		65,300
553		Bowling Green , Kentucky		65,234
554		Tamarac , Florida		65,199
555		Shawnee , Kansas		65,194
556		Rogers , Arkansas		65,021
557		Schenectady , New York		64,913
558		East Orange , New Jersey		64,789
559		Lodi , California		64,641
560		Buckeye , Arizona		64,629
561		West Des Moines , Iowa		64,560
562		Santa Cruz , California		64,465
563		Madera , California		64,444
564		Youngstown , Ohio		64,312
565		North Port , Florida		64,274
566		Skokie village, Illinois		64,270
567		Lake Elsinore , California		64,205
568		Janesville , Wisconsin		64,159
569		Cheyenne , Wyoming		64,019
570		Eden Prairie , Minnesota		63,914
571		Wellington village, Florida		63,900
572		Jupiter town, Florida		63,813
573		Sammamish , Washington		63,773
574		Lorain , Ohio		63,730
575		Pico Rivera , California		63,635
576		Montebello , California		63,335
577		Encinitas , California		63,131
578		Auburn , Alabama		63,118
579		Waltham , Massachusetts		63,002
580		Blaine , Minnesota		62,892
581		Haverhill , Massachusetts		62,873
582		Rocklin , California		62,787
583		Tulare , California		62,779
584		Council Bluffs , Iowa		62,524
585		Redmond , Washington		62,458
586		Coon Rapids , Minnesota		62,359
587		North Miami , Florida		62,139
588		Hamilton , Ohio		62,127
589		Rowlett , Texas		61,999
590		San Marcos , Texas		61,980
591		Lakeville , Minnesota		61,938
592		Springfield , Oregon		61,893
593		Grand Junction , Colorado		61,881
594		La Habra , California		61,664
595		Moore , Oklahoma		61,415
596		Burnsville , Minnesota		61,290
597		Taylor , Michigan		61,177
598		Eastvale , California		61,151
599		National City , California		61,147
600		Lehi , Utah		61,130
601		Port Orange , Florida		61,105
602		Monterey Park , California		61,075
603		Marietta , Georgia		60,941
604		Terre Haute , Indiana		60,852
605		Malden , Massachusetts		60,840
606		Lakewood , Washington		60,665
607		Utica , New York		60,652
608		Cupertino , California		60,643
609		Brentwood , California		60,532
610		Petaluma , California		60,530
611		Vineland , New Jersey		60,525
612		Taylorsville , Utah		60,436
613		Idaho Falls , Idaho		60,211
614		Noblesville , Indiana		60,183
615		Bristol , Connecticut		60,147
616		West Allis , Wisconsin		60,087
617		Gardena , California		60,048
618		La Mesa , California		59,948
619		St. Clair Shores , Michigan		59,775
620		Pontiac , Michigan		59,698
621		Meriden , Connecticut		59,622
622		Dublin , California		59,583
623		Coconut Creek , Florida		59,405
624		Casper , Wyoming		59,324
625		Owensboro , Kentucky		59,273
626		Ocala , Florida		59,253
627		Chapel Hill town, North Carolina		59,246
628		Pflugerville , Texas		59,245
629		Lancaster , Pennsylvania		59,218
630		Novi , Michigan		59,211
631		Great Falls , Montana		59,178
632		Springfield , Ohio		59,087
633		Woodland , California		59,068
634		Royal Oak , Michigan		59,006
635		Porterville , California		58,978
636		San Rafael , California		58,954
637		Huntington Park , California		58,879
638		Orland Park village, Illinois		58,862
639		Ankeny , Iowa		58,627
640		Bartlett , Tennessee		58,622
641		Sanford , Florida		58,605
642		Dubuque , Iowa		58,531
643		Arcadia , California		58,523
644		Bowie , Maryland		58,393
645		White Plains , New York		58,241
646		Des Plaines , Illinois		58,141
647		Doral , Florida		57,947
648		Margate , Florida		57,870
649		Santee , California		57,834
650		Kokomo , Indiana		57,799
651		Castle Rock town, Colorado		57,666
652		Grand Forks , North Dakota		57,339
653		Midwest City , Oklahoma		57,305
654		St. Peters , Missouri		57,289
655		Medford , Massachusetts		57,213
656		Corvallis , Oregon		57,110
657		Hendersonville , Tennessee		57,050
658		New Brunswick , New Jersey		56,910
659		Taunton , Massachusetts		56,843
660		Tinley Park village, Illinois		56,831
661		Diamond Bar , California		56,793
662		Smyrna , Georgia		56,664
663		Sarasota , Florida		56,610
664		Greenwood , Indiana		56,545
665		Fountain Valley , California		56,529
666		Valdosta , Georgia		56,474
667		Oak Lawn village, Illinois		56,257
668		Novato , California		56,004
669		Chicopee , Massachusetts		55,991
670		Weymouth Town , Massachusetts		55,972
671		Dearborn Heights , Michigan		55,761
672		Berwyn , Illinois		55,748
673		Bradenton , Florida		55,687
674		Hempstead village, New York		55,555
675		Hanford , California		55,547
676		Rocky Mount , North Carolina		55,466
677		Port Arthur , Texas		55,427
678		Shoreline , Washington		55,333
679		Kettering , Ohio		55,306
680		Anderson , Indiana		55,130
681		Decatur , Alabama		55,072
682		Gilroy , California		55,069
683		Richland , Washington		54,989
684		Manhattan , Kansas		54,983
685		Highland , California		54,939
686		Paramount , California		54,909
687		Commerce City , Colorado		54,869
688		Huntersville town, North Carolina		54,839
689		Euless , Texas		54,769
690		Pocatello , Idaho		54,746
691		Carson City, Nevada		54,742
692		Colton , California		54,712
693		Casa Grande , Arizona		54,534
694		West Haven , Connecticut		54,516
695		Rosemead , California		54,500
696		Blue Springs , Missouri		54,431
697		Hoboken , New Jersey		54,379
698		Normal town, Illinois		54,264
699		Bonita Springs , Florida		54,198
700		Mount Prospect village, Illinois		54,171
701		Cathedral City , California		54,056
702		Watsonville , California		53,796
703		Pensacola , Florida		53,779
704		Palm Beach Gardens , Florida		53,778
705		Lake Havasu City , Arizona		53,743
706		Elyria , Ohio		53,715
707		Bellevue , Nebraska		53,505
708		Wheaton , Illinois		53,389
709		West New York town, New Jersey		53,343
710		Yucaipa , California		53,309
711		Southaven , Mississippi		53,214
712		Albany , Oregon		53,211
713		Revere , Massachusetts		53,157
714		Caldwell , Idaho		53,149
715		Harrisonburg , Virginia		53,078
716		West Sacramento , California		52,981
717		Lenexa , Kansas		52,903
718		Kingsport , Tennessee		52,806
719		Burlington , North Carolina		52,709
720		Delano , California		52,707
721		Leesburg town, Virginia		52,607
722		DeSoto , Texas		52,599
723		Milford  (balance), Connecticut		52,536
724		Perth Amboy , New Jersey		52,499
725		Peabody , Massachusetts		52,491
726		Brookhaven , Georgia		52,444
727		Minnetonka , Minnesota		52,369
728		Palm Desert , California		52,231
729		Placentia , California		52,228
730		Elkhart , Indiana		52,221
731		Joplin , Missouri		52,195
732		Pinellas Park , Florida		52,137
733		La Crosse , Wisconsin		52,109
734		Grapevine , Texas		51,971
735		Apple Valley , Minnesota		51,957
736		Tigard , Oregon		51,902
737		Glendora , California		51,851
738		Florissant , Missouri		51,776
739		Oak Park village, Illinois		51,774
740		Hoffman Estates village, Illinois		51,738
741		Kentwood , Michigan		51,689
742		Battle Creek , Michigan		51,534
743		Grand Island , Nebraska		51,517
744		Aliso Viejo , California		51,424
745		Edina , Minnesota		51,350
746		Olympia , Washington		51,202
747		Parker town, Colorado		51,163
748		Enid , Oklahoma		51,004
749		Burien , Washington		50,997
750		Coral Gables , Florida		50,815
751		Logan , Utah		50,676
752		Plainfield , New Jersey		50,636
753		Cerritos , California		50,555
754		Galveston , Texas		50,550
755		Coeur d'Alene , Idaho		50,285
756		Lakewood , Ohio		50,279
757		Poway , California		50,077
758		Troy , New York		49,702
759		Charleston , West Virginia		49,138
760		Saginaw , Michigan		48,984
761		Niagara Falls , New York		48,632
